epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,193.475,0.86263,7.94239,0.32622,0.80892,0.10731,0.09313,0.06178,0.4835,1.73236,0.16868,0.000157572,0.000157572,0.000157572
2,371.77,0.51011,0.78209,0.15648,0.62135,0.32175,0.30367,0.22084,0.46764,1.19168,0.18117,0.000300585,0.000300585,0.000300585
3,551.092,0.48087,0.59106,0.14144,0.63657,0.31632,0.42358,0.28866,0.45866,1.11031,0.17997,0.00042789,0.00042789,0.00042789
4,732.11,0.43396,0.57231,0.12402,0.66119,0.46626,0.52727,0.35946,0.41063,1.07021,0.16156,0.000405314,0.000405314,0.000405314
5,911.21,0.40369,0.50273,0.11346,0.73236,0.56211,0.59993,0.39588,0.39372,0.95503,0.15113,0.000381752,0.000381752,0.000381752
6,1091.12,0.4052,0.49131,0.11294,0.62519,0.60217,0.56958,0.38934,0.39545,0.9518,0.1516,0.00035819,0.00035819,0.00035819
7,1275.07,0.38404,0.47075,0.10847,0.64179,0.55032,0.53196,0.36357,0.36821,0.96478,0.13828,0.000334628,0.000334628,0.000334628
8,1452.76,0.38331,0.45522,0.10633,0.62201,0.65741,0.54677,0.35384,0.37697,0.91627,0.14822,0.000311066,0.000311066,0.000311066
9,1633.26,0.37931,0.45205,0.10054,0.60361,0.62946,0.58257,0.39115,0.3709,0.91795,0.14021,0.000287504,0.000287504,0.000287504
10,1817.1,0.36499,0.42921,0.09854,0.62473,0.63699,0.61752,0.40539,0.38678,1.02393,0.15122,0.000263942,0.000263942,0.000263942
11,2008.19,0.31458,0.40014,0.09363,0.67344,0.62611,0.57339,0.40443,0.3943,0.98049,0.14012,0.00024038,0.00024038,0.00024038
12,2185.75,0.2999,0.3842,0.08741,0.60467,0.56577,0.49441,0.34703,0.41524,0.87445,0.1624,0.000216818,0.000216818,0.000216818
13,2365.55,0.29575,0.37452,0.08471,0.66336,0.62002,0.55179,0.34168,0.37857,0.95482,0.13996,0.000193256,0.000193256,0.000193256
14,2541.79,0.29008,0.35972,0.08076,0.73755,0.61585,0.59856,0.40702,0.37544,0.84551,0.14404,0.000169694,0.000169694,0.000169694
15,2734.79,0.28314,0.34975,0.07916,0.73095,0.61698,0.60163,0.41832,0.37374,0.85586,0.13673,0.000146132,0.000146132,0.000146132
16,2917.39,0.2722,0.34579,0.07637,0.70978,0.63499,0.57279,0.37953,0.36998,0.92565,0.14094,0.00012257,0.00012257,0.00012257
17,3097.52,0.27344,0.34207,0.07405,0.71931,0.62336,0.57907,0.38706,0.36926,0.89008,0.14221,9.9008e-05,9.9008e-05,9.9008e-05
18,3273.87,0.26071,0.3298,0.0717,0.77383,0.58006,0.59023,0.41261,0.37021,0.86232,0.13917,7.5446e-05,7.5446e-05,7.5446e-05
19,3449.86,0.26019,0.32735,0.07171,0.67307,0.65108,0.58279,0.39814,0.38158,0.93036,0.14142,5.1884e-05,5.1884e-05,5.1884e-05
20,3630.25,0.25546,0.32202,0.06933,0.68961,0.64324,0.57039,0.38728,0.38372,0.90776,0.13847,2.8322e-05,2.8322e-05,2.8322e-05
