epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1216,1.31946,3.5445,1.13392,0.47648,0.24128,0.32343,0.22192,1.17057,2.52951,1.15118,0.000157572,0.000157572,0.000157572
2,113.48,1.16211,1.35394,1.08204,0.61076,0.345,0.39136,0.20893,1.4995,2.30343,1.30683,0.000309978,0.000309978,0.000309978
3,169.001,1.15276,1.11174,1.08025,0.77345,0.32161,0.46158,0.28671,1.2293,2.54686,1.26517,0.000456099,0.000456099,0.000456099
4,225.815,1.15095,1.03685,1.08114,0.63532,0.336,0.44337,0.28423,1.18495,2.1736,1.22427,0.000447726,0.000447726,0.000447726
5,281.058,1.09734,0.90453,1.05764,0.46878,0.38399,0.40378,0.23364,1.34793,2.11269,1.3343,0.000438301,0.000438301,0.000438301
6,336.495,1.09487,0.87009,1.05796,0.60202,0.46828,0.4447,0.27825,1.29204,1.97527,1.27052,0.000428876,0.000428876,0.000428876
7,391.795,1.06622,0.79929,1.04542,0.57437,0.33131,0.39618,0.27863,1.17699,1.83697,1.2136,0.000419451,0.000419451,0.000419451
8,446.659,1.04818,0.78396,1.03674,0.75875,0.36093,0.48232,0.32316,1.19805,1.9096,1.23219,0.000410026,0.000410026,0.000410026
9,504.755,1.03089,0.76039,1.02495,0.49948,0.37948,0.39648,0.27545,1.18861,2.03275,1.2543,0.000400602,0.000400602,0.000400602
10,559.391,1.02988,0.72488,1.0233,0.7012,0.41263,0.4686,0.31942,1.20564,1.92723,1.26586,0.000391177,0.000391177,0.000391177
11,615.115,0.97709,0.69595,1.01156,0.56091,0.40207,0.44231,0.30851,1.16805,2.04009,1.21884,0.000381752,0.000381752,0.000381752
12,670.575,0.98995,0.68882,1.01309,0.63708,0.39761,0.45979,0.32261,1.16867,1.8744,1.20805,0.000372327,0.000372327,0.000372327
13,725.847,0.97549,0.66527,1.00158,0.76424,0.40516,0.49162,0.33377,1.05216,1.90639,1.16447,0.000362902,0.000362902,0.000362902
14,781.891,0.98295,0.65755,1.0026,0.59706,0.42877,0.45571,0.3266,1.12454,1.73064,1.18666,0.000353478,0.000353478,0.000353478
15,837.677,0.96285,0.64126,0.99849,0.62396,0.43476,0.44868,0.29659,1.13822,2.1424,1.2168,0.000344053,0.000344053,0.000344053
16,893.096,0.93784,0.60952,0.98428,0.71469,0.44859,0.51442,0.33274,1.09962,1.71374,1.20316,0.000334628,0.000334628,0.000334628
17,948.023,0.93792,0.60885,0.9859,0.6883,0.42928,0.47918,0.31961,1.08849,1.78917,1.18085,0.000325203,0.000325203,0.000325203
18,1003.54,0.92889,0.60087,0.9811,0.64419,0.49411,0.54858,0.35265,1.20073,1.86042,1.2434,0.000315778,0.000315778,0.000315778
19,1060.64,0.93034,0.58246,0.97918,0.68936,0.43834,0.54046,0.35512,1.11327,1.70734,1.18164,0.000306354,0.000306354,0.000306354
20,1117.69,0.91036,0.57373,0.97747,0.69356,0.52757,0.6057,0.39118,1.12791,1.74351,1.21557,0.000296929,0.000296929,0.000296929
21,1174.14,0.89181,0.54411,0.96114,0.73685,0.43172,0.54824,0.36202,1.12746,1.7399,1.1956,0.000287504,0.000287504,0.000287504
22,1229.15,0.908,0.5575,0.96539,0.74657,0.41228,0.51005,0.34846,1.09068,1.58878,1.2012,0.000278079,0.000278079,0.000278079
23,1284.14,0.88552,0.54166,0.96321,0.67109,0.46288,0.55132,0.38261,1.12213,1.71354,1.20168,0.000268654,0.000268654,0.000268654
24,1339.66,0.87249,0.52621,0.9576,0.62402,0.55817,0.57571,0.38406,1.1502,1.90677,1.21167,0.00025923,0.00025923,0.00025923
25,1395.12,0.86039,0.51005,0.95631,0.65043,0.47523,0.57089,0.3994,1.10683,1.84018,1.17964,0.000249805,0.000249805,0.000249805
26,1452.01,0.84896,0.50958,0.94407,0.64438,0.5373,0.57502,0.37229,1.13218,1.69716,1.22298,0.00024038,0.00024038,0.00024038
27,1507.82,0.85152,0.50636,0.95112,0.7512,0.50708,0.6109,0.38255,1.07828,1.78375,1.17323,0.000230955,0.000230955,0.000230955
28,1563.72,0.84617,0.50095,0.94537,0.71906,0.49654,0.57688,0.39553,1.10591,1.78662,1.16939,0.00022153,0.00022153,0.00022153
29,1619.58,0.83495,0.49033,0.93968,0.64571,0.56177,0.582,0.39333,1.15294,1.79058,1.20597,0.000212106,0.000212106,0.000212106
30,1675,0.83437,0.48713,0.93546,0.61048,0.56577,0.5734,0.38466,1.13378,1.74671,1.17281,0.000202681,0.000202681,0.000202681
31,1731.09,0.81663,0.47283,0.93192,0.63822,0.60703,0.55336,0.38011,1.0991,1.82598,1.16486,0.000193256,0.000193256,0.000193256
32,1786.3,0.80509,0.46904,0.9282,0.59769,0.61112,0.55343,0.37621,1.08536,1.80494,1.15374,0.000183831,0.000183831,0.000183831
33,1841.81,0.7877,0.4517,0.92157,0.58075,0.5943,0.56079,0.37895,1.1358,1.79135,1.17032,0.000174406,0.000174406,0.000174406
34,1897.47,0.79042,0.4543,0.93024,0.55716,0.65355,0.56135,0.38646,1.11184,1.81699,1.17252,0.000164982,0.000164982,0.000164982
35,1953.12,0.78579,0.45001,0.92208,0.60307,0.57736,0.5703,0.37887,1.04996,1.79589,1.12845,0.000155557,0.000155557,0.000155557
